uuid,wrkname,scaling,scheduler,start_time,end_time,slo,gpus,collected,csv
f569b40f-8032-4fdb-a375-546af76219c5,ME,none,dasheng,1705909835,1705910466,5,12,1,metrics/wula_RR/exp_EP3_3/ME/dasheng/1705909835/
f059f9cc-7ed4-4252-a3f4-0e4a0acd3d78,LATENCY,none,dasheng,1705911999,1705912632,5,12,1,metrics/wula_RR/exp_EP3_3/LATENCY/dasheng/1705911999/
56e392c6-97e5-43f9-877e-6f599a8b3ebe,PARAM,none,dasheng,1705914573,1705915204,5,12,1,metrics/wula_RR/exp_EP3_3/PARAM/dasheng/1705914573/
5b6a0443-095e-4f26-8ecf-eec3df6fc269,TIME,none,dasheng,1705916210,1705916841,5,12,1,metrics/wula_RR/exp_EP3_3/TIME/dasheng/1705916210/
f0876378-2ca3-4239-b153-add1de85e441,whole,none,dasheng,1705917783,1705918414,5,12,1,metrics/wula_RR/exp_EP3_3/whole/dasheng/1705917783/
066a6fed-c859-47cf-8784-7f751f8fa13a,ME,none,dasheng,1705919440,1705920071,5,16,1,metrics/wula_RR/exp_EP3_4/ME/dasheng/1705919440/
257722dc-e536-4d7a-8eb0-b695fddf6f6a,LATENCY,none,dasheng,1705939671,1705940303,5,16,1,metrics/wula_RR/exp_EP3_7/LATENCY/dasheng/1705939671/
4ca217c0-8aca-4ae6-bb8a-a877ad6d9663,PARAM,none,dasheng,1705941025,1705941656,5,16,1,metrics/wula_RR/exp_EP3_7/PARAM/dasheng/1705941025/
73daa9cd-8766-440d-9871-5511f702c839,TIME,none,dasheng,1705942290,1705942921,5,16,1,metrics/wula_RR/exp_EP3_7/TIME/dasheng/1705942290/
bd323eef-65d8-48e6-b546-fdae140c4f75,whole,none,dasheng,1705923967,1705924598,5,16,1,metrics/wula_RR/exp_EP3_4/whole/dasheng/1705923967/
015f56a6-7780-409d-894d-a39654151da2,ME,none,dasheng,1705925810,1705926441,5,20,1,metrics/wula_RR/exp_EP3_5/ME/dasheng/1705925810/
c4a09a6a-569f-4829-ab4f-d4349b880a2a,LATENCY,none,dasheng,1705944117,1705944752,5,20,1,metrics/wula_RR/exp_EP3_8/LATENCY/dasheng/1705944117/
717f2674-f198-433a-bae0-1ab9c1e3b772,PARAM,none,dasheng,1705928427,1705929058,5,20,1,metrics/wula_RR/exp_EP3_5/PARAM/dasheng/1705928427/
bee66533-f608-40db-b2c7-ce716d417f3d,TIME,none,dasheng,1705929783,1705930414,5,20,1,metrics/wula_RR/exp_EP3_5/TIME/dasheng/1705929783/
751b877c-12d3-4d22-8b19-5e002928d3d6,whole,none,dasheng,1705931043,1705931674,5,20,1,metrics/wula_RR/exp_EP3_5/whole/dasheng/1705931043/
86e4db6d-acd7-4a7e-b5a7-669a23fe9401,ME,none,dasheng,1705932102,1705932734,5,24,1,metrics/wula_RR/exp_EP3_6/ME/dasheng/1705932102/
5dcea9b3-368d-451e-82fc-818e60f67feb,LATENCY,none,dasheng,1705933380,1705934015,5,24,1,metrics/wula_RR/exp_EP3_6/LATENCY/dasheng/1705933380/
56aaa1c3-a17c-4f83-b002-b69fc0c70d4f,PARAM,none,dasheng,1705934814,1705935445,5,24,1,metrics/wula_RR/exp_EP3_6/PARAM/dasheng/1705934814/
ae1f79c8-e745-41bb-852a-7e72c47e8703,TIME,none,dasheng,1705936058,1705936690,5,24,1,metrics/wula_RR/exp_EP3_6/TIME/dasheng/1705936058/
0ae4c0f2-74b0-4ee1-bafd-dfa5943a1d17,whole,none,dasheng,1705937374,1705938009,5,24,1,metrics/wula_RR/exp_EP3_6/whole/dasheng/1705937374/
