RequestTime,ResponseTime,StatusCode,URL
1704766249453619813,1704766251381338194,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766250203022652,1704766252077848206,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766250923693035,1704766252787538213,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766251558041790,1704766252790894638,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766252283218578,1704766253876091554,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766253024059233,1704766254575649695,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766253667714497,1704766255179459506,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766254362093996,1704766255803232917,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766255046302761,1704766256979462817,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766255651755441,1704766257720190993,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766256361550158,1704766258477527478,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766257064327377,1704766258780293134,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766257840017472,1704766259206480131,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766258589626460,1704766260581973661,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766259278324892,1704766260979281337,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766259946787870,1704766261378036697,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766260777143753,1704766262579408241,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766261365899591,1704766262854143789,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766262125670078,1704766263775521556,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766262801109505,1704766264778029173,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766263543886366,1704766265386743836,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766264213920050,1704766265700873984,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766264911246369,1704766266181878536,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766265743245112,1704766267677778975,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766266474926034,1704766268377612760,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766267167251959,1704766269077519235,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766267878619131,1704766269677858969,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766268538155035,1704766270378572502,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766269163937800,1704766271085512241,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766269797585501,1704766271778321933,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766270586150104,1704766272477717446,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766271272958163,1704766272881454598,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766271907301478,1704766273179054884,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766272677697593,1704766274180795170,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766273298585195,1704766274876090280,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766274013910092,1704766275575957668,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766274711689619,1704766276279663013,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766275390089197,1704766276975998290,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766276087796500,1704766278123791195,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766276768487542,1704766278078109521,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766277457656565,1704766279009622695,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766278145582945,1704766279518213467,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766278841325513,1704766280683318632,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766279508366384,1704766281000389080,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766280196900577,1704766281676091214,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766280836449470,1704766282379865652,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766281474521581,1704766283143988320,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766282240065079,1704766283458277891,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766283003326063,1704766284454575250,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766283674439755,1704766285202988424,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766284598421220,1704766285678675380,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766285284063937,1704766286583085751,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766286146048088,1704766287401788341,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766286795993583,1704766287878370421,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766287434330018,1704766288604516068,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766288021823064,1704766289182489885,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766288701385339,1704766290578243604,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704766289339049742,1704766290582043319,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
