RequestTime,ResponseTime,StatusCode,URL
1704114454741048391,1704114455162583149,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704114454754062305,1704114455817383496,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704114454760122250,1704114455326428193,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704114454762065035,1704114454844702964,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704114454780100920,1704114456982706151,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704114454806033721,1704114455129201983,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704114454808039533,1704114455687662373,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704114454816040075,1704114455321303050,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704114454822048817,1704114455065987987,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704114454846034432,1704114457837495341,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704114454846111984,1704114455181494788,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704114454941026456,1704114455656438479,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704114454987035244,1704114455402951985,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704114454990035395,1704114455073850531,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704114455069049675,1704114461830024426,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704114455110035879,1704114455353779647,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704114455161036038,1704114455808987219,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704114455260033789,1704114455451573361,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
