RequestTime,ResponseTime,StatusCode,URL
1704187975566041088,1704187975793866779,200,http://172.169.8.253:31112/function/bert-21b-submod-0-param-8.cdgp
1704187975579059344,1704187976272367086,200,http://172.169.8.253:31112/function/opt-66b-submod-0-param-8.cdgp
1704187975585030549,1704187975735878187,200,http://172.169.8.253:31112/function/llama-7b-submod-0-param-7.cdgp
1704187975587059769,1704187977525448152,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-param-3.cdgp
1704187975605082166,1704187979592594297,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704187975631433619,1704187975906473103,200,http://172.169.8.253:31112/function/bert-21b-submod-0-param-8.cdgp
1704187975633039483,1704187976575629573,200,http://172.169.8.253:31112/function/opt-66b-submod-0-param-8.cdgp
1704187975641065797,1704187975884057027,200,http://172.169.8.253:31112/function/llama-7b-submod-0-param-7.cdgp
1704187975647027328,1704187980748947045,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-param-3.cdgp
1704187975671026828,1704187985672287400,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704187975671110305,1704187975904604771,200,http://172.169.8.253:31112/function/bert-21b-submod-0-param-8.cdgp
1704187975766046968,1704187976429400038,200,http://172.169.8.253:31112/function/opt-66b-submod-0-param-8.cdgp
1704187975812024793,1704187976022426796,200,http://172.169.8.253:31112/function/llama-7b-submod-0-param-7.cdgp
1704187975815028811,1704187980749417413,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-param-3.cdgp
1704187975894027758,1704187985895289346,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704187975935025831,1704187976217144096,200,http://172.169.8.253:31112/function/bert-21b-submod-0-param-8.cdgp
1704187975986042369,1704187976577551504,200,http://172.169.8.253:31112/function/opt-66b-submod-0-param-8.cdgp
1704187976085032004,1704187976310868226,200,http://172.169.8.253:31112/function/llama-7b-submod-0-param-7.cdgp
1704187976136027303,1704187980749317322,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-param-3.cdgp
1704187976184026799,1704187986185068801,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704187976195027251,1704187976454931113,200,http://172.169.8.253:31112/function/bert-21b-submod-0-param-8.cdgp
1704187976196025983,1704187976898131705,200,http://172.169.8.253:31112/function/opt-66b-submod-0-param-8.cdgp
1704187976227023074,1704187976452697784,200,http://172.169.8.253:31112/function/llama-7b-submod-0-param-7.cdgp
1704187976294024402,1704187986295293679,500,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-param-3.cdgp
1704187976297028759,1704187986297528239,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704187976312024687,1704187976593293993,200,http://172.169.8.253:31112/function/bert-21b-submod-0-param-8.cdgp
1704187976347023594,1704187976855374850,200,http://172.169.8.253:31112/function/opt-66b-submod-0-param-8.cdgp
1704187976483022739,1704187976692148498,200,http://172.169.8.253:31112/function/llama-7b-submod-0-param-7.cdgp
1704187976511033405,1704187986511917075,500,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-param-3.cdgp
1704187976531025978,1704187986532248294,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-param-8.cdgp
1704187976566021258,1704187976838276565,200,http://172.169.8.253:31112/function/bert-21b-submod-0-param-8.cdgp
1704187976643025664,1704187977210368234,200,http://172.169.8.253:31112/function/opt-66b-submod-0-param-8.cdgp
