RequestTime,ResponseTime,StatusCode,URL
1704183428048770438,1704183428298722387,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704183428061789015,1704183428573282457,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704183428067816099,1704183428183356258,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704183428069747597,1704183428267302630,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704183428087751142,1704183431930744731,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704183428113755973,1704183428295043098,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704183428115756710,1704183428607959921,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704183428123755065,1704183428349201476,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704183428129757162,1704183428372098548,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704183428153753547,1704183431930854588,200,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704183428153865132,1704183428365965181,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704183428248767467,1704183428789636754,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704183428294825864,1704183428466604984,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704183428297758506,1704183428500201352,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704183428376753381,1704183435158108856,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704183428417750126,1704183428620757197,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704183428468750743,1704183429108550845,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704183428567754937,1704183428701309050,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704183428618749910,1704183428682815979,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704183428666755237,1704183435404314924,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704183428677755505,1704183428925406116,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704183428678756235,1704183429248187882,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704183428709744922,1704183428932227325,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704183428776755856,1704183428893764508,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704183428779755503,1704183435589764636,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704183428794752505,1704183429052768820,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704183428829747218,1704183429376101232,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704183428965754519,1704183429160328633,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704183428993753238,1704183429094501178,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704183429013755524,1704183435781019429,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704183429048755327,1704183429325752314,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704183429125754544,1704183429776345624,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704183429141756236,1704183429278801211,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704183429170750679,1704183429229676607,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704183429304753496,1704183436037132906,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704183429352748437,1704183429645722554,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704183429466754671,1704183429965435877,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704183429514756797,1704183429663844967,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704183429651754118,1704183429739453565,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704183429681752064,1704183436437434881,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704183429701757098,1704183429933060108,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704183429726752727,1704183430375549866,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704183429838750177,1704183429991763295,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704183429888749588,1704183429947821477,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704183429981756589,1704183436708301615,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704183429998751403,1704183430301945782,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704183430003754328,1704183430638355697,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704183430007755365,1704183430192271394,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704183430027751783,1704183430165238218,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704183430035751021,1704183436917774825,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704183430049753514,1704183430425183857,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704183430071752491,1704183430724228708,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704183430077748590,1704183430341758562,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704183430083753210,1704183430290534030,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704183430095751810,1704183436917914730,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704183430118753003,1704183430591928374,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
