RequestTime,ResponseTime,StatusCode,URL
1705920462220930177,1705920462577583268,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705920462233897079,1705920463062700337,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705920462239905341,1705920462479122329,200,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705920462241883189,1705920463387716066,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705920462259882027,1705920462853671547,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705920462285899181,1705920463651960734,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705920462287888545,1705920462786055258,200,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705920462295885161,1705920465389737311,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705920462301881808,1705920462732840450,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705920462325880858,1705920463520832395,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705920462325995229,1705920462885150114,200,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705920462420899378,1705920465385664393,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705920462466884422,1705920462816610100,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705920462469879674,1705920463901233856,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705920462548880494,1705920462855692086,200,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705920462589877423,1705920467591041304,500,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705920462640883370,1705920463156705156,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705920462739881351,1705920464060824363,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705920462790877935,1705920463264735327,200,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705920462838884024,1705920467839143935,500,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705920462849879271,1705920463223492371,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705920462850881166,1705920463899396218,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705920462881888755,1705920463379959613,200,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705920462948881217,1705920467949286828,500,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705920462951871351,1705920463381768002,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705920462966914943,1705920464106839420,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705920463001879324,1705920463400433792,200,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705920463137883745,1705920468138802112,500,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705920463165884526,1705920463584116947,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705920463185882931,1705920464102933905,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705920463220883054,1705920463683280608,200,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705920463297885305,1705920468298690357,500,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705920463313882172,1705920463821428822,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705920463342881386,1705920464503305851,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705920463476882057,1705920463828411667,200,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705920463524878576,1705920468525612567,500,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705920463638881443,1705920464044815845,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705920463686883084,1705920464686531427,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705920463823883912,1705920464206971253,200,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705920463853878884,1705920468854963957,500,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
