RequestTime,ResponseTime,StatusCode,URL
1705933381041470468,1705933382958221268,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705933381054461883,1705933385258634233,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705933381060454855,1705933383939052185,500,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705933381062471246,1705933381432158195,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705933381080446987,1705933383423144659,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705933381106461751,1705933383129079392,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705933381108450479,1705933383958007059,500,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705933381116450922,1705933383705426030,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705933381122450161,1705933381676479619,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705933381146443777,1705933382883577561,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705933381146546216,1705933383929186617,500,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705933381241443020,1705933386242643314,500,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705933381287453206,1705933382331455518,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705933381290451879,1705933385408330427,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705933381369446418,1705933384344240062,200,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705933381410449211,1705933386410785082,500,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705933381461449830,1705933383422668729,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705933381560524966,1705933383320386879,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705933381611450462,1705933384493303580,500,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705933381659448808,1705933382027700697,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705933381670445517,1705933383249271395,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705933381671451796,1705933383555142600,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705933381702448575,1705933384107275975,500,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705933381769445819,1705933386770570225,500,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705933381772451022,1705933382330614761,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705933381787451515,1705933385411147874,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705933381822449057,1705933384487066083,200,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705933381958451845,1705933386958711326,500,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705933381986450723,1705933382437892201,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705933382006446536,1705933386056829187,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705933382041475717,1705933383062820951,500,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705933382118449943,1705933387118741747,500,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705933382134446169,1705933383378741404,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705933382163454355,1705933383650543401,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705933382297449694,1705933383034134764,200,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705933382345446060,1705933387345848478,500,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705933382459460455,1705933383115133116,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
1705933382507452042,1705933383555293407,200,http://172.169.8.253:31112/function/opt-66b-submod-0-latency-25.cdgp
1705933382644457839,1705933384615521002,200,http://172.169.8.253:31112/function/llama-7b-submod-0-latency-12.cdgp
1705933382674458495,1705933387675673145,500,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-latency-2.cdgp
1705933382694501897,1705933383323641615,200,http://172.169.8.253:31112/function/bert-21b-submod-0-latency-10.cdgp
