RequestTime,ResponseTime,StatusCode,URL
1704537122138522121,1704537122332846080,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537122151539715,1704537122841052135,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537122157530516,1704537122321843167,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537122159523990,1704537122288857113,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537122177501275,1704537129464986549,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537122203511709,1704537122408237493,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537122205512296,1704537122885165284,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537122213516906,1704537122371979974,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537122219506283,1704537122404877215,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537122243499161,1704537129466369096,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537122243591718,1704537122533080550,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537122338522219,1704537122883522775,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537122384505326,1704537122555870626,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537122387507809,1704537122465294985,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537122466516559,1704537129467430556,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537122507506154,1704537122754455291,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537122558504725,1704537123062962026,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537122657505756,1704537122856536743,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537122708504660,1704537122767873656,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537122756503042,1704537129911994053,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537122767508353,1704537123028230414,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537122768500373,1704537123368886536,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537122799521597,1704537123000054647,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537122866505064,1704537122940252611,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537122869508018,1704537129915524128,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537122884506437,1704537123187259627,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537122919507625,1704537123456469549,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537123055506979,1704537123214244816,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537123083504754,1704537123142072587,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537123103520069,1704537129912206994,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537123138508987,1704537123414840224,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537123215508558,1704537123837678216,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537123231523186,1704537123419676197,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537123260504183,1704537123318705605,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537123394506095,1704537130179097156,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537123442511786,1704537123704504154,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537123556505515,1704537124119077491,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537123604508659,1704537123760966593,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537123741509561,1704537123801769826,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537123771506199,1704537130570325506,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537123791507444,1704537124014623825,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537123816503742,1704537124430125164,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537123928505045,1704537124122569806,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537123978504588,1704537124037338275,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537124071499564,1704537130978998996,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537124088510211,1704537124565807913,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537124093507247,1704537124794267889,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537124097513585,1704537124371508635,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537124117504859,1704537124192108397,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537124125508066,1704537130979371818,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537124139518912,1704537124415293576,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537124161521044,1704537124874362717,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537124167510691,1704537124394978735,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537124173528141,1704537124261960751,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537124185520802,1704537131296478406,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537124208506041,1704537124458498050,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537124231506032,1704537124939751441,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537124244506799,1704537124535894057,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537124253506955,1704537124331590707,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537124255508022,1704537131296804861,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537124256507821,1704537124565373507,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537124272527100,1704537125321604583,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537124273516218,1704537124479783138,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537124276508941,1704537124452243084,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537124301508915,1704537131710760743,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537124322503252,1704537124673902089,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537124328508934,1704537125110452649,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537124344505432,1704537124627149250,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537124344582141,1704537124508245983,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537124367521787,1704537132260901279,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537124380507320,1704537124742381610,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537124395504922,1704537125259476730,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537124401508684,1704537124667642193,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537124409509454,1704537124537478939,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537124431501956,1704537131710563772,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537124462505898,1704537124784234639,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537124462587564,1704537125364194542,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537124485504652,1704537124755770419,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537124509504606,1704537124656081723,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537124509583928,1704537131710937460,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537124528498119,1704537124895577524,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537124534506226,1704537125321078817,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537124538515456,1704537124823693576,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537124545514725,1704537124716280927,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537124565509497,1704537132264684059,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537124590514192,1704537124936266538,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537124590705855,1704537125531916639,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537124619508368,1704537124861239461,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537124667506257,1704537124776291836,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537124667617369,1704537132260624525,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537124711505428,1704537125051850702,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537124743501547,1704537125529899765,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537124799502661,1704537125022733916,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537124832506962,1704537124906262668,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537124855506025,1704537132260517813,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537124858507089,1704537125179960270,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537124868517235,1704537125728378982,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537124951502636,1704537125180343266,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537124961509112,1704537125059232977,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537124986506558,1704537132856460019,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537125011505081,1704537125396215275,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537125011586307,1704537125576485552,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537125065500302,1704537125299475240,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537125071509926,1704537125172317981,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537125127504393,1704537132852507060,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537125133509702,1704537125417843923,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537125146511480,1704537125893102719,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537125151509584,1704537125396053381,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537125181506870,1704537125296181894,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537125193505470,1704537132852526571,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537125208505027,1704537125524308623,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537125237504364,1704537126084582529,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537125243508472,1704537125488540747,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537125262505392,1704537125335910490,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537125269855926,1704537132856380775,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537125294515480,1704537125563755017,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537125298510633,1704537126208794400,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537125321507016,1704537125611737139,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537125326508661,1704537125452171331,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
1704537125342507755,1704537132852504237,500,http://172.169.8.253:31112/function/wideresnet-9b-submod-0-me-3.cdgp
1704537125354513174,1704537125718087926,200,http://172.169.8.253:31112/function/bert-21b-submod-0-me-5.cdgp
1704537125365508119,1704537126297952239,200,http://172.169.8.253:31112/function/opt-66b-submod-0-me-11.cdgp
1704537125387509228,1704537125593968455,200,http://172.169.8.253:31112/function/llama-7b-submod-0-me-5.cdgp
1704537125410505269,1704537125484210271,200,http://172.169.8.253:31112/function/whisper-large-v2-submod-0-me-1.cdgp
