RequestTime,ResponseTime,StatusCode,URL
1705637732060153013,1705637732379460465,200,http://172.169.8.253:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1705637732073167392,1705637732677986446,200,http://172.169.8.253:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1705637732079137303,1705637732392694830,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1705637732081132176,1705637732281640977,200,http://172.169.8.253:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1705637732099631758,1705637733043830367,200,http://172.169.8.253:31112/function/wideresnet-9b-wholemod-wideresnet-9b-whole.cdgp
1705637732125144536,1705637732881615490,200,http://172.169.8.253:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1705637732127135305,1705637733271239143,200,http://172.169.8.253:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1705637732135153578,1705637732899228234,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1705637732141145884,1705637732486899720,200,http://172.169.8.253:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1705637732165126247,1705637737170486853,500,http://172.169.8.253:31112/function/wideresnet-9b-wholemod-wideresnet-9b-whole.cdgp
1705637732165224087,1705637732881623468,200,http://172.169.8.253:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1705637732260124355,1705637733473866910,200,http://172.169.8.253:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1705637732306138667,1705637732899836762,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1705637732309131153,1705637732812005799,200,http://172.169.8.253:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1705637732388139684,1705637737394345017,500,http://172.169.8.253:31112/function/wideresnet-9b-wholemod-wideresnet-9b-whole.cdgp
1705637732429131006,1705637733172907792,200,http://172.169.8.253:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1705637732480135387,1705637733474342802,200,http://172.169.8.253:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1705637732579140826,1705637733196094225,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1705637732630155459,1705637732879999697,200,http://172.169.8.253:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1705637732678136864,1705637737544006899,200,http://172.169.8.253:31112/function/wideresnet-9b-wholemod-wideresnet-9b-whole.cdgp
1705637732689163447,1705637733572343961,200,http://172.169.8.253:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1705637732690125350,1705637733673243400,200,http://172.169.8.253:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1705637732721126888,1705637733479481385,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1705637732788129813,1705637733076526672,200,http://172.169.8.253:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1705637732791141325,1705637737544241180,200,http://172.169.8.253:31112/function/wideresnet-9b-wholemod-wideresnet-9b-whole.cdgp
1705637732806132935,1705637733572436659,200,http://172.169.8.253:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1705637732841132849,1705637734002285922,200,http://172.169.8.253:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1705637732977137241,1705637733892065908,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1705637733005135027,1705637733271881790,200,http://172.169.8.253:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1705637733025130129,1705637737544209916,200,http://172.169.8.253:31112/function/wideresnet-9b-wholemod-wideresnet-9b-whole.cdgp
1705637733060132932,1705637733877381095,200,http://172.169.8.253:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1705637733137131095,1705637733875806528,200,http://172.169.8.253:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1705637733153134158,1705637733892160686,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1705637733182129839,1705637733380713719,200,http://172.169.8.253:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1705637733316143382,1705637738321314482,500,http://172.169.8.253:31112/function/wideresnet-9b-wholemod-wideresnet-9b-whole.cdgp
1705637733364130513,1705637734171895392,200,http://172.169.8.253:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1705637733478140254,1705637734527367533,200,http://172.169.8.253:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1705637733526131702,1705637734183501833,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1705637733663133303,1705637733779124350,200,http://172.169.8.253:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1705637733693132767,1705637738743298451,500,http://172.169.8.253:31112/function/wideresnet-9b-wholemod-wideresnet-9b-whole.cdgp
1705637733713131738,1705637734387491445,200,http://172.169.8.253:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1705637733738131556,1705637734486041335,200,http://172.169.8.253:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1705637733850132585,1705637734398877512,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1705637733900141690,1705637733979058869,200,http://172.169.8.253:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1705637733993133196,1705637738998732236,500,http://172.169.8.253:31112/function/wideresnet-9b-wholemod-wideresnet-9b-whole.cdgp
1705637734010132577,1705637734972159837,200,http://172.169.8.253:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1705637734015133077,1705637735315235650,200,http://172.169.8.253:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1705637734019123767,1705637734979941736,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1705637734039129375,1705637734173326668,200,http://172.169.8.253:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1705637734047132105,1705637739070325175,500,http://172.169.8.253:31112/function/wideresnet-9b-wholemod-wideresnet-9b-whole.cdgp
1705637734061131866,1705637734972408628,200,http://172.169.8.253:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1705637734083129555,1705637735273053593,200,http://172.169.8.253:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1705637734089125790,1705637734980170566,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1705637734095132602,1705637734368138407,200,http://172.169.8.253:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1705637734107123789,1705637739111745019,500,http://172.169.8.253:31112/function/wideresnet-9b-wholemod-wideresnet-9b-whole.cdgp
1705637734130128173,1705637735278141231,200,http://172.169.8.253:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1705637734153132164,1705637735275069915,200,http://172.169.8.253:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1705637734166129070,1705637735393113607,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1705637734175127654,1705637734527773357,200,http://172.169.8.253:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1705637734177132431,1705637739182260698,500,http://172.169.8.253:31112/function/wideresnet-9b-wholemod-wideresnet-9b-whole.cdgp
1705637734178135188,1705637735579120420,200,http://172.169.8.253:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1705637734194128741,1705637736472965044,200,http://172.169.8.253:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1705637734195133332,1705637735435179365,200,http://172.169.8.253:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1705637734198123498,1705637735078077668,200,http://172.169.8.253:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1705637734223132156,1705637739228662484,500,http://172.169.8.253:31112/function/wideresnet-9b-wholemod-wideresnet-9b-whole.cdgp
1705637734244131057,1705637736372638515,200,http://172.169.8.253:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1705637734250133271,1705637737276651031,500,http://172.169.8.253:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
