RequestTime,ResponseTime,StatusCode,URL
1691671415201834627,1691671415437136625,200,http://serverless.siat.ac.cn:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1691671415214831562,1691671416054952809,200,http://serverless.siat.ac.cn:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1691671415220894043,1691671415399698879,200,http://serverless.siat.ac.cn:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1691671415222980169,1691671416036474863,200,http://serverless.siat.ac.cn:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1691671415240814330,1691671415570387397,200,http://serverless.siat.ac.cn:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1691671415266821920,1691671417381013701,200,http://serverless.siat.ac.cn:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1691671415268819176,1691671415432945602,200,http://serverless.siat.ac.cn:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1691671415276819424,1691671416049455531,200,http://serverless.siat.ac.cn:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1691671415282821071,1691671415629425279,200,http://serverless.siat.ac.cn:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1691671415306818605,1691671417503456736,200,http://serverless.siat.ac.cn:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1691671415306933619,1691671415454486457,200,http://serverless.siat.ac.cn:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1691671415401813175,1691671416347924661,200,http://serverless.siat.ac.cn:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1691671415447821305,1691671415686667917,200,http://serverless.siat.ac.cn:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1691671415450818916,1691671417508259373,200,http://serverless.siat.ac.cn:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1691671415529818587,1691671415590579779,200,http://serverless.siat.ac.cn:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1691671415570814232,1691671416203576222,200,http://serverless.siat.ac.cn:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1691671415621816225,1691671415761862976,200,http://serverless.siat.ac.cn:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1691671415720836043,1691671417502192346,200,http://serverless.siat.ac.cn:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1691671415771814784,1691671415859254844,200,http://serverless.siat.ac.cn:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1691671415819817638,1691671416421040893,200,http://serverless.siat.ac.cn:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1691671415830817122,1691671415944713273,200,http://serverless.siat.ac.cn:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1691671415831824890,1691671417828270577,200,http://serverless.siat.ac.cn:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1691671415862817195,1691671415949915774,200,http://serverless.siat.ac.cn:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1691671415929815093,1691671416518247357,200,http://serverless.siat.ac.cn:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
1691671415932814520,1691671416053989946,200,http://serverless.siat.ac.cn:31112/function/bert-21b-wholemod-bert-21b-whole.cdgp
1691671415947814974,1691671418608241833,200,http://serverless.siat.ac.cn:31112/function/opt-66b-wholemod-0-opt-66b-whole.cdgp
1691671415982817246,1691671416061891543,200,http://serverless.siat.ac.cn:31112/function/llama-7b-wholemod-llama-7b-whole.cdgp
1691671416118816045,1691671416533878373,200,http://serverless.siat.ac.cn:31112/function/whisper-large-v2-wholemod-whisper-large-v2-whole.cdgp
