model_name,graph_id,oap_method,oap_params,device_type,cores,batch_size,load_time,exec_time,warmup_time,input_size
bert-21b,0,TIME_OAP,8,cpu,16,1,4.8673415184021,1.0883359909057617,5.015516042709351,2304
bert-21b,1,TIME_OAP,8,cpu,16,1,6.2422730922698975,1.3904531002044678,2.75382924079895,1048832
bert-21b,2,TIME_OAP,8,cpu,16,1,6.349645137786865,0.9020469188690186,3.389129400253296,1048832
bert-21b,3,TIME_OAP,8,cpu,16,1,6.037976980209351,0.8343396186828613,3.109483003616333,1048832
bert-21b,4,TIME_OAP,8,cpu,16,1,6.167654752731323,1.3065381050109863,2.999541997909546,1048832
bert-21b,5,TIME_OAP,8,cpu,16,1,6.493303060531616,0.9834282398223877,3.5290720462799072,1048832
bert-21b,6,TIME_OAP,8,cpu,16,1,13.159270763397217,0.8310248851776123,3.8692266941070557,1048832
bert-21b,7,TIME_OAP,8,cpu,16,1,16.32831048965454,0.7606236934661865,3.6580400466918945,1048832
bert-21b,0,TIME_OAP,8,cuda,1,1,10.78493595123291,0.012380361557006836,0.12675881385803223,2304
bert-21b,1,TIME_OAP,8,cuda,1,1,11.023987531661987,0.017026185989379883,0.45214033126831055,1048832
bert-21b,2,TIME_OAP,8,cuda,1,1,10.819928884506226,0.014265060424804688,0.4729945659637451,1048832
bert-21b,3,TIME_OAP,8,cuda,1,1,10.810670375823975,0.013204574584960938,0.00060272216796875,1048832
bert-21b,4,TIME_OAP,8,cuda,1,1,10.639700174331665,0.013519048690795898,0.5035655498504639,1048832
bert-21b,5,TIME_OAP,8,cuda,1,1,11.05491304397583,0.013267278671264648,0.0013458728790283203,1048832
bert-21b,6,TIME_OAP,8,cuda,1,1,11.893695831298828,0.01387333869934082,0.00046372413635253906,1048832
bert-21b,7,TIME_OAP,8,cuda,1,1,11.301574945449829,0.013526678085327148,0.0005140304565429688,1048832
bert-21b,0,ME_OAP,10.0-21,cpu,16,1,1.7304511070251465,0.21433138847351074,1.1389374732971191,2304
bert-21b,1,ME_OAP,10.0-21,cpu,16,1,1.523728609085083,0.21326422691345215,1.0760676860809326,1048832
bert-21b,2,ME_OAP,10.0-21,cpu,16,1,2.7326278686523438,0.3710823059082031,1.8013134002685547,1048832
bert-21b,3,ME_OAP,10.0-21,cpu,16,1,2.7636947631835938,0.41613292694091797,1.8355345726013184,1048832
bert-21b,4,ME_OAP,10.0-21,cpu,16,1,2.381371021270752,0.3018360137939453,1.303262710571289,1048832
bert-21b,5,ME_OAP,10.0-21,cpu,16,1,2.637939453125,0.3306849002838135,1.4031968116760254,1048832
bert-21b,6,ME_OAP,10.0-21,cpu,16,1,6.615110158920288,0.30925631523132324,1.5199484825134277,1048832
bert-21b,7,ME_OAP,10.0-21,cpu,16,1,6.153515100479126,0.2729668617248535,1.261009931564331,1048832
bert-21b,8,ME_OAP,10.0-21,cpu,16,1,5.990019798278809,0.2893490791320801,1.456528902053833,1048832
bert-21b,9,ME_OAP,10.0-21,cpu,16,1,7.236260414123535,0.309326171875,1.5423789024353027,1048832
bert-21b,10,ME_OAP,10.0-21,cpu,16,1,5.7878241539001465,0.2709329128265381,1.1794087886810303,1048832
bert-21b,11,ME_OAP,10.0-21,cpu,16,1,6.360553503036499,0.29846739768981934,1.3945703506469727,1048832
bert-21b,12,ME_OAP,10.0-21,cpu,16,1,6.783222198486328,0.39327001571655273,1.437359094619751,1048832
bert-21b,13,ME_OAP,10.0-21,cpu,16,1,5.848194122314453,0.2758655548095703,1.3684310913085938,1048832
bert-21b,14,ME_OAP,10.0-21,cpu,16,1,5.7624006271362305,0.3022959232330322,1.4578044414520264,1048832
bert-21b,15,ME_OAP,10.0-21,cpu,16,1,8.355745315551758,0.29636716842651367,1.2851524353027344,1048832
bert-21b,16,ME_OAP,10.0-21,cpu,16,1,5.613171100616455,0.3613157272338867,0.9591171741485596,1048832
bert-21b,17,ME_OAP,10.0-21,cpu,16,1,8.455686092376709,0.2809715270996094,1.0799751281738281,1048832
bert-21b,18,ME_OAP,10.0-21,cpu,16,1,7.2148590087890625,0.2965383529663086,1.1496939659118652,1048832
bert-21b,19,ME_OAP,10.0-21,cpu,16,1,8.022805213928223,0.27169013023376465,1.0641555786132812,1048832
bert-21b,20,ME_OAP,10.0-21,cpu,16,1,8.239855289459229,0.3718569278717041,1.2538280487060547,1048832
bert-21b,0,ME_OAP,10.0-21,cuda,1,1,3.494136333465576,0.003091096878051758,0.0010530948638916016,2304
bert-21b,1,ME_OAP,10.0-21,cuda,1,1,1.9889004230499268,0.0039844512939453125,0.4684157371520996,1048832
bert-21b,2,ME_OAP,10.0-21,cuda,1,1,4.24124550819397,0.005336761474609375,0.007540464401245117,1048832
bert-21b,3,ME_OAP,10.0-21,cuda,1,1,4.1948935985565186,0.005624055862426758,0.0005235671997070312,1048832
bert-21b,4,ME_OAP,10.0-21,cuda,1,1,3.4450533390045166,0.004969596862792969,0.0013322830200195312,1048832
bert-21b,5,ME_OAP,10.0-21,cuda,1,1,4.1227707862854,0.0054683685302734375,0.002112865447998047,1048832
bert-21b,6,ME_OAP,10.0-21,cuda,1,1,3.6013786792755127,0.005605459213256836,0.0024313926696777344,1048832
bert-21b,7,ME_OAP,10.0-21,cuda,1,1,3.4517405033111572,0.004969120025634766,0.0008094310760498047,1048832
bert-21b,8,ME_OAP,10.0-21,cuda,1,1,3.463529109954834,0.005325794219970703,0.0015616416931152344,1048832
bert-21b,9,ME_OAP,10.0-21,cuda,1,1,4.072174549102783,0.005607128143310547,0.0011444091796875,1048832
bert-21b,10,ME_OAP,10.0-21,cuda,1,1,3.4127862453460693,0.0051190853118896484,0.0012159347534179688,1048832
bert-21b,11,ME_OAP,10.0-21,cuda,1,1,3.5463693141937256,0.005314350128173828,0.0015308856964111328,1048832
bert-21b,12,ME_OAP,10.0-21,cuda,1,1,4.070322513580322,0.005602598190307617,0.0004508495330810547,1048832
bert-21b,13,ME_OAP,10.0-21,cuda,1,1,3.3625364303588867,0.004959821701049805,0.0007014274597167969,1048832
bert-21b,14,ME_OAP,10.0-21,cuda,1,1,3.451730966567993,0.005321502685546875,0.002869844436645508,1048832
bert-21b,15,ME_OAP,10.0-21,cuda,1,1,3.499368667602539,0.005601406097412109,0.0017135143280029297,1048832
bert-21b,16,ME_OAP,10.0-21,cuda,1,1,3.399517059326172,0.005060434341430664,0.0006797313690185547,1048832
bert-21b,17,ME_OAP,10.0-21,cuda,1,1,3.5114834308624268,0.005332231521606445,0.0016710758209228516,1048832
bert-21b,18,ME_OAP,10.0-21,cuda,1,1,3.9562416076660156,0.005593299865722656,0.0004336833953857422,1048832
bert-21b,19,ME_OAP,10.0-21,cuda,1,1,3.308706521987915,0.0049664974212646484,0.0006372928619384766,1048832
bert-21b,20,ME_OAP,10.0-21,cuda,1,1,4.238476276397705,0.00601506233215332,0.0006887912750244141,1048832
bert-21b,0,ME_OAP,10.0-10,cpu,16,1,14.35695219039917,0.5810091495513916,2.61403751373291,2304
bert-21b,1,ME_OAP,10.0-10,cpu,16,1,11.722168445587158,0.6239349842071533,2.8456854820251465,1048832
bert-21b,2,ME_OAP,10.0-10,cpu,16,1,11.742010593414307,0.804332971572876,2.674453020095825,1048832
bert-21b,3,ME_OAP,10.0-10,cpu,16,1,11.861254453659058,0.61663818359375,2.486300230026245,1048832
bert-21b,4,ME_OAP,10.0-10,cpu,16,1,12.074297666549683,1.0853943824768066,2.16072678565979,1048832
